epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5556,0.60023,0.98352,1.07868,0.02367,0.35,0.0164,0.01204,1.40131,24.6924,2.35272,0.000655172,0.000655172,0.000655172
2,22.601,0.37076,0.39772,0.9428,0.94945,0.425,0.49994,0.34588,1.66605,2.17904,3.06339,0.00125641,0.00125641,0.00125641
3,32.3491,0.35577,0.36055,0.93079,0.84691,0.9375,0.94517,0.84287,0.41504,1.23679,0.999,0.00179164,0.00179164,0.00179164
4,41.6341,0.32832,0.32792,0.92458,0.91636,0.95867,0.98524,0.95926,0.34484,0.43214,0.91841,0.001703,0.001703,0.001703
5,50.7872,0.27821,0.29351,0.89874,0.94765,0.90507,0.97309,0.9123,0.44997,0.54777,1.00788,0.001604,0.001604,0.001604
6,59.9779,0.24695,0.25935,0.88505,0.97529,0.98659,0.99147,0.98593,0.20816,0.24724,0.83775,0.001505,0.001505,0.001505
7,69.1779,0.22868,0.24176,0.8831,0.99863,1,0.995,0.99138,0.20994,0.20618,0.84013,0.001406,0.001406,0.001406
8,78.406,0.21619,0.2319,0.87886,0.9966,1,0.995,0.99094,0.17618,0.22786,0.81651,0.001307,0.001307,0.001307
9,87.5001,0.2059,0.21946,0.87765,0.99705,1,0.995,0.99139,0.19214,0.25485,0.82549,0.001208,0.001208,0.001208
10,96.6922,0.20238,0.22771,0.8719,0.99899,1,0.995,0.995,0.15468,0.16815,0.81749,0.001109,0.001109,0.001109
11,124.423,0.19196,0.20542,0.84571,0.99776,1,0.995,0.99332,0.18141,0.20449,0.81265,0.00101,0.00101,0.00101
12,133.35,0.18624,0.18243,0.8443,0.99927,1,0.995,0.99056,0.19232,0.18173,0.81261,0.000911,0.000911,0.000911
13,142.355,0.17738,0.16666,0.84452,0.99931,1,0.995,0.99444,0.14812,0.16572,0.79219,0.000812,0.000812,0.000812
14,151.424,0.15749,0.15934,0.83239,0.99932,1,0.995,0.995,0.142,0.15031,0.78005,0.000713,0.000713,0.000713
15,160.639,0.14074,0.14835,0.81778,0.99901,1,0.995,0.995,0.11171,0.11903,0.77406,0.000614,0.000614,0.000614
16,169.834,0.13118,0.13591,0.81595,0.99935,1,0.995,0.995,0.1101,0.11229,0.76684,0.000515,0.000515,0.000515
17,179.11,0.12184,0.12706,0.81249,0.99933,1,0.995,0.995,0.09441,0.10642,0.7652,0.000416,0.000416,0.000416
18,188.134,0.10549,0.11739,0.80169,0.99928,1,0.995,0.995,0.09181,0.10977,0.75998,0.000317,0.000317,0.000317
19,197.52,0.10064,0.11013,0.80269,0.99934,1,0.995,0.995,0.08879,0.10539,0.76005,0.000218,0.000218,0.000218
20,206.797,0.08564,0.09533,0.80697,0.99934,1,0.995,0.995,0.06195,0.08589,0.75339,0.000119,0.000119,0.000119
